,answer_id,answer_string,id,part_id,problem_id,score,set_id,timestamp,user_id
97175,59875,"C(47,5)",30606,0,1,0,Assignment10.16.13,2013-10-17T04:49:03,lahuynh
97194,59885,"C(12,5)",30607,0,1,0,Assignment10.16.13,2013-10-17T04:50:38,lahuynh
97203,59894,"C(52,5)",30609,0,1,0,Assignment10.16.13,2013-10-17T04:51:55,lahuynh
97209,59898,"C(52,5) - C(52,36)",30610,0,1,0,Assignment10.16.13,2013-10-17T04:52:09,lahuynh
97214,59902,"C(52,5) - C(36,5)",30611,0,1,0,Assignment10.16.13,2013-10-17T04:52:17,lahuynh
97224,59909,"C(12,1)",30612,0,1,0,Assignment10.16.13,2013-10-17T04:53:19,lahuynh
97230,59913,"C(52,12)",30613,0,1,0,Assignment10.16.13,2013-10-17T04:54:06,lahuynh
97248,59929,"C(52,1) - C(12,1)",30614,0,1,0,Assignment10.16.13,2013-10-17T04:55:27,lahuynh
97251,59932,"C(52,1) - C(40,1)",30615,0,1,0,Assignment10.16.13,2013-10-17T04:55:56,lahuynh
97255,59937,"C(52,1) - C(12,0)",30616,0,1,0,Assignment10.16.13,2013-10-17T04:56:21,lahuynh
97268,59946,"C(12,1) + C(52,4)",30617,0,1,0,Assignment10.16.13,2013-10-17T04:57:55,lahuynh
97270,59948,"C(12,1) + C(40,4)",30618,0,1,0,Assignment10.16.13,2013-10-17T04:58:01,lahuynh
97271,59949,"C(12,1) * C(40,4)",30619,0,1,0,Assignment10.16.13,2013-10-17T04:58:11,lahuynh
97273,59951,"C(12,1) + C(51,4)",30620,0,1,0,Assignment10.16.13,2013-10-17T04:59:03,lahuynh
97283,59961,"C(52,5) - C(12,0)*C(52,5)",30621,0,1,0,Assignment10.16.13,2013-10-17T05:01:01,lahuynh
97285,59963,"C(12,5) - C(12,0)*C(52,5)",30622,0,1,0,Assignment10.16.13,2013-10-17T05:01:24,lahuynh
97294,59969,"C(12,1)*C(51,4) + C(12,2)*C(50,3) + C(12,3)*C(49,2) + C(12,4)*C(48,1) + C(12,5)*C(47,0)",30623,0,1,0,Assignment10.16.13,2013-10-17T05:02:40,lahuynh
97297,59972,"1 - C(12,0)",30624,0,1,0,Assignment10.16.13,2013-10-17T05:03:35,lahuynh
97298,59973,"1 - C(12,0)/C(52,5)",30625,0,1,0,Assignment10.16.13,2013-10-17T05:03:43,lahuynh
97300,59975,"1 - C(12,0)/C(12,5)",30626,0,1,0,Assignment10.16.13,2013-10-17T05:03:59,lahuynh
97302,59977,"1 - C(12,0)/C(42,5)",30627,0,1,0,Assignment10.16.13,2013-10-17T05:04:23,lahuynh
97303,59978,"1 - C(12,0)/C(40,5)",30628,0,1,0,Assignment10.16.13,2013-10-17T05:04:30,lahuynh
97305,59980,"C(52,5) - C(12,0)",30629,0,1,0,Assignment10.16.13,2013-10-17T05:05:21,lahuynh
97306,59981,"C(40,5) - C(12,0)",30630,0,1,0,Assignment10.16.13,2013-10-17T05:05:44,lahuynh
97307,59982,"C(52,5) - C(12,0)",30631,0,1,0,Assignment10.16.13,2013-10-17T05:05:50,lahuynh
97322,59993,"1 -C(40,5)",30632,0,1,0,Assignment10.16.13,2013-10-17T05:07:16,lahuynh
97326,59996,"C(52,5) - C(40,5)",30633,0,1,0,Assignment10.16.13,2013-10-17T05:07:59,lahuynh
